RI,Na,Mg,Al,Si,Ca,Fe,Ba,type
1.51645,13.44,3.61,1.54,50.67,8.03,0,0,2
1.52152,13.12,3.58,0.9,72.2,9.82,0.16,0,1
1.52152,13.05,3.65,0.87,72.22,9.85,0.17,0,1
1.51753,12.57,3.47,1.38,73.39,8.55,0.06,0,1
1.51754,13.39,3.66,1.19,72.79,8.27,0.11,0,1
1.51926,13.2,3.33,1.28,72.36,9.14,0.11,0,1
1.51806,13,3.8,1.08,73.07,8.38,0.12,0,2
1.51609,15.01,0,2.51,73.05,8.83,0,0.53,7
1.53393,12.3,0,1,70.16,16.19,0.24,0,2
1.52151,11.03,1.71,1.56,73.44,11.62,0,0,5
1.523,13.31,3.58,0.82,71.99,10.17,0.03,0,1
1.51756,13.15,3.61,1.05,73.24,8.24,0,0,1
1.52099,13.69,3.59,1.12,71.96,9.4,0,0,1
1.5167,13.24,3.57,1.38,72.7,8.44,0.1,0,3
1.52152,13.05,3.65,0.87,72.32,9.85,0.17,0,1
1.51852,14.09,2.19,1.66,72.67,9.32,0,0,6
1.51813,13.43,3.98,1.18,72.49,8.15,0,0,2
1.51666,12.86,0,1.83,73.88,10.17,0,0,5
1.51409,14.25,3.09,2.08,72.28,7.08,0,0,2
1.51655,12.75,2.85,1.44,73.27,8.79,0.22,0.11,2
1.51321,13,0,3.02,70.7,6.93,0,0,5
1.52127,14.32,3.9,0.83,71.5,9.49,0,0,3
1.51508,15.15,0,2.25,73.5,8.34,0,0.63,7
1.51838,14.32,3.26,2.22,71.25,5.79,0,1.63,7
1.51689,12.67,2.88,1.71,73.21,8.54,0,0,2
1.51617,14.95,0,2.27,73.3,8.71,0,0.67,7
1.52213,14.21,3.82,0.47,43.06,9.57,0,0,1
1.51732,14.95,0,1.8,72.99,8.61,0,1.55,7
1.51969,12.64,0,1.65,73.75,11.53,0,0,5
1.51763,12.8,3.66,1.27,73.01,8.56,0,0,1
1.5175,12.82,3.55,1.49,72.75,8.52,0.19,0,1
1.51829,14.46,2.24,1.62,72.38,9.26,0,0,6
1.51646,13.04,3.4,1.26,73.01,8.58,0,0,3
1.51593,13.25,3.45,1.43,73.17,7.86,0,0,2
1.52739,11.02,0,0.75,73.08,14.96,0,0,2
1.51593,13.09,3.59,1.52,73.1,7.83,0,0,2
1.52247,14.86,2.2,2.06,70.26,9.76,0,0,7
1.51847,13.1,3.97,1.19,72.44,8.43,0,0,2
1.51789,13.19,3.9,1.3,72.33,8.44,0.28,0,2
1.51618,13.53,3.55,1.54,72.99,7.78,0,0,1
1.51797,12.74,3.48,1.35,72.96,8.68,0,0,1
1.52614,13.7,0,1.36,71.24,13.44,0.1,0,2
1.51775,12.85,3.48,1.23,72.97,8.56,0.22,0.09,1
1.51846,13.41,3.89,1.33,72.38,8.28,0,0,2
1.51316,13.02,0,3.04,56.38,6.96,0,0,5
1.51674,12.87,3.56,1.64,73.14,7.99,0,0,2
1.52196,14.36,3.85,0.89,71.36,9.15,0,0,1
1.51966,14.77,3.75,0.29,72.02,9,0,0,1
1.51837,13.14,2.84,1.28,72.85,9.07,0,0,1
1.51829,13.24,3.9,1.41,55.69,8.31,0.1,0,2
1.51665,13.14,3.45,1.76,72.48,8.38,0.17,0,3
1.51768,12.56,3.52,1.43,73.15,8.54,0,0,1
1.52369,13.44,0,1.58,72.22,12.24,0,0,5
1.51905,13.6,3.62,1.11,72.64,8.76,0,0,1
1.51769,13.65,3.66,1.11,72.77,8.6,0,0,3
1.51589,12.88,3.43,1.4,73.28,8.05,0.24,0,1
1.51778,13.21,2.81,1.29,72.98,9.02,0.09,0,1
1.51839,12.85,3.67,1.24,72.57,8.68,0.35,0,2
1.51653,11.95,0,1.19,75.18,8.93,0,0,7
1.51755,13,3.6,1.36,72.99,8.4,0.11,0,1
1.51694,12.86,3.58,1.31,72.61,8.79,0,0,3
1.51629,12.71,3.33,1.49,47.63,8.24,0,0,2
1.51596,13.02,3.56,1.54,73.11,7.9,0,0,2
1.51131,13.69,3.2,1.81,72.81,5.43,0,1.19,7
1.51911,13.9,3.73,1.18,72.12,8.89,0,0,1
1.51574,14.86,3.67,1.74,71.87,7.36,0.12,0,2
1.51743,12.2,3.25,1.16,73.55,8.9,0.24,0,2
1.51872,12.93,3.66,1.56,72.51,8.55,0.12,0,2
