type,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe
3,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0,0
2,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17
1,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0,0
1,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0,0
2,1.53125,10.73,0,2.1,69.81,0.58,13.3,3.15,0.28
7,1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0
2,1.51818,13.72,0,0.56,74.45,0,10.99,0,0
2,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0,0
5,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28
2,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0,0.19
2,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0,0
1,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0,0
2,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0,0.29
2,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0
3,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0,0
7,1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0
3,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0,0.09
1,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0,0
2,1.52664,11.23,0,0.77,73.21,0,14.68,0,0
2,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17
1,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0,0.07
1,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0,0
7,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0
2,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0,0.22
5,1.52043,13.38,0,1.4,72.25,0.33,12.5,0,0
2,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0,0
7,1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0
1,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0,0.31
1,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16
1,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0,0.16
1,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1
5,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0
6,1.51969,14.56,0,0.56,73.48,0,11.22,0,0
3,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0,0
1,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07
1,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0,0
2,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24
7,1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0
7,1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0
2,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0,0.32
6,1.51916,14.15,0,2.09,72.74,0,10.88,0,0
2,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0
2,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0,0.14
2,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0,0.15
2,1.52777,12.64,0,0.67,72.02,0.06,14.4,0,0
1,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0,0
1,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17
2,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0,0.18
6,1.51115,17.38,0,0.34,75.41,0,6.65,0,0
1,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0,0
1,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0,0
2,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0,0.2
2,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0,0
2,1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0
2,1.51627,13,3.58,1.54,72.83,0.61,8.04,0,0
7,1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0
7,1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0
2,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0,0
7,1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09
2,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0,0.21
2,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0,0.09
2,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09
2,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0,0
5,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0,0
1,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0,0.24
1,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0,0
6,1.51937,13.79,2.41,1.19,72.76,0,9.77,0,0
2,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0,0
3,1.51779,13.64,3.65,0.65,73,0.06,8.93,0,0
7,1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01
1,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0
1,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0,0
2,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0,0.1
2,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0,0
1,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0,0.14
2,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0,0
2,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0
6,1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0
7,1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09
7,1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07
2,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0,0
2,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0
2,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0
3,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0,0
1,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0,0
2,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17
3,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0,0
1,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0,0
1,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0,0.11
1,1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0,0
1,1.51764,12.98,3.54,1.21,73,0.65,8.53,0,0
3,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37
